x;y;tempo;invert
5021;5021;0.09200;1
5031;5031;0.09200;1
5041;5041;0.08800;1
5051;5051;0.09600;1
5061;5061;0.09600;1
5071;5071;0.08800;1
5081;5081;0.09600;1
5091;5091;0.09200;1
5101;5101;0.09200;1
5111;5111;0.09200;1
5121;5121;0.09200;1
5131;5131;0.09300;1
5141;5141;0.09600;1
5151;5151;0.09200;1
5161;5161;0.09200;1
5171;5171;0.09600;1
5181;5181;0.09600;1
5191;5191;0.09600;1
5201;5201;0.09600;1
5211;5211;0.09200;1
5221;5221;0.09200;1
5231;5231;0.09600;1
5241;5241;0.09200;1
5251;5251;0.09600;1
5261;5261;0.09600;1
5271;5271;0.09600;1
5281;5281;0.09600;1
5291;5291;0.10400;1
5301;5301;0.09600;1
5311;5311;0.10000;1
5321;5321;0.10800;1
5331;5331;0.10800;1
5341;5341;0.10000;1
5351;5351;0.12800;1
5361;5361;0.11300;1
5371;5371;0.09600;1
5381;5381;0.10400;1
5391;5391;0.10000;1
5401;5401;0.10000;1
5411;5411;0.10000;1
5421;5421;0.10400;1
5431;5431;0.10400;1
5441;5441;0.11200;1
5451;5451;0.10000;1
5461;5461;0.10400;1
5471;5471;0.11200;1
5481;5481;0.10400;1
5491;5491;0.10400;1
5501;5501;0.10800;1
5511;5511;0.10400;1
5521;5521;0.10400;1
5531;5531;0.10400;1
5541;5541;0.10800;1
5551;5551;0.10900;1
5561;5561;0.10400;1
5571;5571;0.10900;1
5581;5581;0.10800;1
5591;5591;0.10800;1
5601;5601;0.10800;1
5611;5611;0.10900;1
5621;5621;0.10800;1
5631;5631;0.10800;1
5641;5641;0.10800;1
5651;5651;0.11200;1
5661;5661;0.11200;1
5671;5671;0.11200;1
5681;5681;0.11200;1
5691;5691;0.11200;1
5701;5701;0.10800;1
5711;5711;0.11600;1
5721;5721;0.11700;1
5731;5731;0.11600;1
5741;5741;0.11200;1
5751;5751;0.11200;1
5761;5761;0.11600;1
5771;5771;0.11600;1
5781;5781;0.11600;1
5791;5791;0.11200;1
5801;5801;0.14000;1
5811;5811;0.12800;1
5821;5821;0.11600;1
5831;5831;0.11600;1
5841;5841;0.11300;1
5851;5851;0.12000;1
5861;5861;0.12100;1
5871;5871;0.12000;1
5881;5881;0.12000;1
5891;5891;0.12500;1
5901;5901;0.12000;1
5911;5911;0.12000;1
5921;5921;0.12500;1
5931;5931;0.12100;1
5941;5941;0.13600;1
5951;5951;0.12400;1
5961;5961;0.12800;1
5971;5971;0.12400;1
5981;5981;0.13600;1
5991;5991;0.12800;1
6001;6001;0.12400;1
6011;6011;0.12800;1
6021;6021;0.12400;1
6031;6031;0.12900;1
6041;6041;0.12400;1
6051;6051;0.13600;1
6061;6061;0.14000;1
6071;6071;0.16400;1
6081;6081;0.15700;1
6091;6091;0.14400;1
6101;6101;0.13200;1
6111;6111;0.13200;1
6121;6121;0.13600;1
6131;6131;0.17200;1
6141;6141;0.20000;1
6151;6151;0.16800;1
6161;6161;0.13200;1
6171;6171;0.19700;1
6181;6181;0.13300;1
6191;6191;0.13200;1
6201;6201;0.13600;1
6211;6211;0.13200;1
6221;6221;0.13600;1
6231;6231;0.14400;1
6241;6241;0.13200;1
6251;6251;0.13200;1
6261;6261;0.14000;1
6271;6271;0.13700;1
6281;6281;0.14100;1
6291;6291;0.14000;1
6301;6301;0.13600;1
6311;6311;0.14100;1
6321;6321;0.14100;1
6331;6331;0.17600;1
6341;6341;0.13600;1
6351;6351;0.14100;1
6361;6361;0.14800;1
6371;6371;0.14000;1
6381;6381;0.14400;1
6391;6391;0.14400;1
6401;6401;0.14000;1
6411;6411;0.14500;1
6421;6421;0.14900;1
6431;6431;0.14400;1
6441;6441;0.14400;1
6451;6451;0.14500;1
6461;6461;0.14500;1
6471;6471;0.14800;1
6481;6481;0.14900;1
6491;6491;0.14800;1
6501;6501;0.15300;1
6511;6511;0.14800;1
6521;6521;0.14800;1
6531;6531;0.15200;1
6541;6541;0.15600;1
6551;6551;0.15200;1
6561;6561;0.15200;1
6571;6571;0.15200;1
6581;6581;0.15200;1
6591;6591;0.24100;1
6601;6601;0.15200;1
6611;6611;0.16000;1
6621;6621;0.14800;1
6631;6631;0.15600;1
6641;6641;0.15200;1
6651;6651;0.16000;1
6661;6661;0.15200;1
6671;6671;0.15200;1
6681;6681;0.15600;1
6691;6691;0.15600;1
6701;6701;0.15600;1
6711;6711;0.16100;1
6721;6721;0.15600;1
6731;6731;0.18400;1
6741;6741;0.16800;1
6751;6751;0.21600;1
6761;6761;0.27600;1
6771;6771;0.25400;1
6781;6781;0.53200;1
6791;6791;0.20400;1
6801;6801;0.17200;1
6811;6811;0.16000;1
6821;6821;0.20600;1
6831;6831;0.16400;1
6841;6841;0.16000;1
6851;6851;0.16000;1
6861;6861;0.16400;1
6871;6871;0.16900;1
6881;6881;0.16400;1
6891;6891;0.16800;1
6901;6901;0.17300;1
6911;6911;0.19200;1
6921;6921;0.16500;1
6931;6931;0.16800;1
6941;6941;0.16800;1
6951;6951;0.22000;1
6961;6961;0.16800;1
6971;6971;0.16800;1
6981;6981;0.17200;1
6991;6991;0.17600;1
7001;7001;0.17200;1
7011;7011;0.17200;1
7021;7021;0.17200;1
7031;7031;0.17200;1
