x;y;tempo;inverso
3821;3821; 0.21;1
3831;3831; 0.25;1
3841;3841; 0.21;1
3851;3851; 0.20;1
3861;3861; 0.34;1
3871;3871; 0.22;1
3881;3881; 0.21;1
3891;3891; 0.24;1
3901;3901; 0.46;1
3911;3911; 0.23;1
3921;3921; 0.27;1
3931;3931; 0.25;1
3941;3941; 0.33;1
3951;3951; 0.37;1
3961;3961; 0.38;1
3971;3971; 0.40;1
3981;3981; 0.23;1
3991;3991; 0.22;1
4001;4001; 0.24;1
4011;4011; 0.24;1
4021;4021; 0.23;1
4031;4031; 0.26;1
4041;4041; 0.23;1
4051;4051; 0.23;1
4061;4061; 0.23;1
4071;4071; 0.23;1
4081;4081; 0.24;1
4091;4091; 0.34;1
4101;4101; 0.24;1
4111;4111; 0.24;1
4121;4121; 0.23;1
4131;4131; 0.23;1
4141;4141; 0.25;1
4151;4151; 0.26;1
4161;4161; 0.24;1
4171;4171; 0.23;1
4181;4181; 0.24;1
4191;4191; 0.24;1
4201;4201; 0.25;1
4211;4211; 0.25;1
4221;4221; 0.25;1
4231;4231; 0.25;1
4241;4241; 0.24;1
4251;4251; 0.25;1
4261;4261; 0.28;1
4271;4271; 0.26;1
4281;4281; 0.26;1
4291;4291; 0.26;1
4301;4301; 0.26;1
4311;4311; 0.26;1
4321;4321; 0.26;1
4331;4331; 0.26;1
4341;4341; 0.27;1
4351;4351; 0.29;1
4361;4361; 0.26;1
4371;4371; 0.28;1
4381;4381; 0.28;1
4391;4391; 0.36;1
4401;4401; 0.29;1
4411;4411; 0.43;1
4421;4421; 0.33;1
4431;4431; 0.31;1
4441;4441; 0.28;1
4451;4451; 0.30;1
4461;4461; 0.29;1
4471;4471; 0.28;1
4481;4481; 0.27;1
4491;4491; 0.28;1
4501;4501; 0.28;1
4511;4511; 0.29;1
4521;4521; 0.31;1
4531;4531; 0.29;1
4541;4541; 0.28;1
4551;4551; 0.28;1
4561;4561; 0.30;1
4571;4571; 0.28;1
4581;4581; 0.46;1
4591;4591; 0.29;1
4601;4601; 0.28;1
4611;4611; 0.29;1
4621;4621; 0.29;1
4631;4631; 0.29;1
4641;4641; 0.29;1
4651;4651; 0.29;1
4661;4661; 0.30;1
4671;4671; 0.30;1
4681;4681; 0.42;1
4691;4691; 0.30;1
4701;4701; 0.32;1
4711;4711; 0.30;1
4721;4721; 0.30;1
4731;4731; 0.31;1
4741;4741; 0.31;1
4751;4751; 0.31;1
4761;4761; 0.31;1
4771;4771; 0.31;1
4781;4781; 0.30;1
4791;4791; 0.31;1
4801;4801; 0.32;1
4811;4811; 0.32;1
4821;4821; 0.31;1
4831;4831; 0.33;1
4841;4841; 0.33;1
4851;4851; 0.33;1
4861;4861; 0.34;1
4871;4871; 0.40;1
4881;4881; 0.32;1
4891;4891; 0.33;1
4901;4901; 0.34;1
4911;4911; 0.34;1
4921;4921; 0.34;1
4931;4931; 0.33;1
4941;4941; 0.33;1
4951;4951; 0.33;1
4961;4961; 0.33;1
4971;4971; 0.34;1
4981;4981; 0.34;1
4991;4991; 0.34;1
5001;5001; 0.34;1
5011;5011; 0.34;1
5021;5021; 0.34;1
5031;5031; 0.34;1
5041;5041; 0.44;1
5051;5051; 0.38;1
5061;5061; 0.40;1
5071;5071; 0.36;1
5081;5081; 0.35;1
5091;5091; 0.36;1
5101;5101; 0.35;1
5111;5111; 0.36;1
5121;5121; 0.36;1
5131;5131; 0.36;1
5141;5141; 0.36;1
5151;5151; 0.36;1
5161;5161; 0.37;1
5171;5171; 0.36;1
5181;5181; 0.42;1
5191;5191; 0.48;1
5201;5201; 0.35;1
5211;5211; 0.37;1
5221;5221; 0.38;1
5231;5231; 0.37;1
5241;5241; 0.38;1
5251;5251; 0.41;1
5261;5261; 0.59;1
5271;5271; 0.72;1
5281;5281; 0.39;1
5291;5291; 0.38;1
5301;5301; 0.50;1
5311;5311; 0.38;1
5321;5321; 0.39;1
5331;5331; 0.39;1
5341;5341; 0.54;1
5351;5351; 0.39;1
5361;5361; 0.41;1
5371;5371; 0.42;1
5381;5381; 0.72;1
5391;5391; 0.48;1
5401;5401; 0.41;1
5411;5411; 0.40;1
5421;5421; 0.42;1
5431;5431; 0.41;1
5441;5441; 0.41;1
5451;5451; 0.42;1
5461;5461; 0.57;1
5471;5471; 0.41;1
5481;5481; 0.44;1
5491;5491; 0.44;1
5501;5501; 0.42;1
5511;5511; 0.44;1
5521;5521; 0.41;1
5531;5531; 0.41;1
5541;5541; 0.44;1
5551;5551; 0.41;1
5561;5561; 0.42;1
5571;5571; 0.52;1
5581;5581; 0.41;1
5591;5591; 0.42;1
5601;5601; 0.41;1
5611;5611; 0.46;1
5621;5621; 0.51;1
5631;5631; 0.44;1
5641;5641; 0.43;1
5651;5651; 0.43;1
5661;5661; 0.52;1
5671;5671; 0.51;1
5681;5681; 0.50;1
5691;5691; 0.51;1
5701;5701; 0.49;1
5711;5711; 0.43;1
5721;5721; 0.47;1
5731;5731; 0.43;1
5741;5741; 0.44;1
5751;5751; 0.45;1
5761;5761; 0.45;1
